Animal,Mês,Estação,Km,Trecho,Sentido,Trecho macro,Hora da Coleta,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetação Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa de Horario,Faixa de Quilometragem
japacanim,1,Verão,778,18,RJ,Planalto,11:38:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
joão-bobo,1,Verão,780,18,RJ,Planalto,11:48:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
pardal,1,Verão,780,18,RJ,Planalto,11:54:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
bem-te-vi,1,Verão,780,18,JF,Planalto,11:19:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 775 e 800
pombo-comum,1,Verão,782,18,JF,Planalto,11:08:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),5,110,Sem chuva,não,sim,não,não,sim,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 775 e 800
pica-pau-anão-barrado,1,Verão,807,15,JF,Planalto,10:25:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 800 e 825
gambá-de-orelha-preta,1,Verão,34,10,RJ,Planalto,15:23:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,sim,não,não,Acostamento,não,Entre 15 e 18,Entre 25 e 50
cobra-lisa,1,Verão,34,10,RJ,Planalto,15:25:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,não,não,não,Acostamento,não,Entre 15 e 18,Entre 25 e 50
ave,1,Verão,54,8,RJ,Planalto,15:59:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 15 e 18,Entre 50 e 75
morcego,1,Verão,55,8,RJ,Planalto,16:04:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
sagui,1,Verão,90,4,RJ,Serra,14:55:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,sim,não,não,não,sim,Acostamento,não,Entre 12 e 15,Entre 75 e 100
tapeti,1,Verão,93,4,RJ,Serra,02:00:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,sim,não,não,não,Pista de rolamento,não,Entre 00 e 03,Entre 75 e 100
sagui,1,Verão,96,3,RJ,Serra,11:30:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,96,3,JF,Serra,08:30:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,sim,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,97,3,JF,Serra,08:10:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
joão-de-pau,1,Verão,97,3,RJ,Serra,15:19:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,sim,sim,não,sim,não,Acostamento,não,Entre 15 e 18,Entre 75 e 100
Coruja,1,Verão,817,14,JF,Planalto,12:26:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Pista de rolamento,não,Entre 12 e 15,Entre 800 e 825
gambá-de-orelha-preta,1,Verão,64,7,RJ,Planalto,17:03:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 15 e 18,Entre 50 e 75
gavião-carijó,1,Verão,71,6,JF,Planalto,10:38:00,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 50 e 75
gambá-de-orelha-preta,1,Verão,98,3,RJ,Serra,09:30:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,sim,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
ave,1,Verão,780,18,RJ,Planalto,15:20:00,Canteiro divisório,2,Pavimento flexível (asfalto),5,90,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 15 e 18,Entre 775 e 800
japacanim,1,Verão,789,17,JF,Planalto,14:48:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,sim,sim,não,Pista de rolamento,não,Entre 12 e 15,Entre 775 e 800
falsa-coral,1,Verão,794,17,JF,Planalto,14:31:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,sim,não,sim,Acostamento,não,Entre 12 e 15,Entre 775 e 800
maritaca,1,Verão,794,17,JF,Planalto,14:18:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 775 e 800
maritaca,1,Verão,794,17,JF,Planalto,14:22:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 775 e 800
dormideira,1,Verão,794,17,JF,Planalto,14:36:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,sim,sim,Acostamento,não,Entre 12 e 15,Entre 775 e 800
coruja,1,Verão,7,12,JF,Planalto,09:39:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 0 e 25
canário,1,Verão,8,12,RJ,Planalto,13:25:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,sim,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
vira-bosta,1,Verão,19,11,RJ,Planalto,13:42:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,70,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
pardal,1,Verão,36,9,JF,Planalto,08:59:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,sim,não,não,Acostamento,não,Entre 06 e 09,Entre 25 e 50
pombo-comum,1,Verão,42,9,RJ,Planalto,14:22:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,70,Sem chuva,não,sim,não,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 25 e 50
dormideira,1,Verão,42,9,JF,Planalto,08:49:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,70,Sem chuva,sim,sim,não,não,sim,sim,não,Pista de rolamento,não,Entre 06 e 09,Entre 25 e 50
ave,1,Verão,43,9,JF,Planalto,08:41:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,70,Sem chuva,sim,sim,não,não,sim,sim,não,Acostamento,não,Entre 06 e 09,Entre 25 e 50
ave,1,Verão,59,7,JF,Planalto,07:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,não,não,sim,sim,não,Pista de rolamento,não,Entre 06 e 09,Entre 50 e 75
cobra-parelheira,1,Verão,68,6,JF,Planalto,07:40:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 06 e 09,Entre 50 e 75
gambá-de-orelha-preta,1,Verão,69,6,JF,Planalto,07:32:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 50 e 75
preguiça-comum,1,Verão,83,5,RJ,Serra,10:20:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
serpente,1,Verão,86,4,RJ,Serra,00:00:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,sim,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 00 e 03,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,93,4,JF,Serra,08:35:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
ave,1,Verão,94,4,RJ,Serra,11:45:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,sim,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
serpente,1,Verão,101,3,JF,Serra,07:50:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 100 e 125
morcego,1,Verão,101,3,JF,Serra,08:00:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 100 e 125
coleirinho,1,Verão,806,15,RJ,Planalto,11:58:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 800 e 825
cobra-de-vidro,1,Verão,816,14,RJ,Planalto,12:13:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,sim,sim,Acostamento,não,Entre 12 e 15,Entre 800 e 825
ave,1,Verão,821,14,RJ,Planalto,12:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
anu-preto,1,Verão,822,14,RJ,Planalto,13:02:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,sim,Desconhecido,não,Entre 12 e 15,Entre 800 e 825
anu-preto,1,Verão,822,14,JF,Planalto,10:01:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 800 e 825
cascavel,1,Verão,12,12,RJ,Planalto,15:27:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 15 e 18,Entre 0 e 25
alma-de-gato,1,Verão,12,12,JF,Planalto,11:26:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,1,Verão,31,10,JF,Planalto,10:57:00,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,sim,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 25 e 50
ave,1,Verão,75,6,JF,Serra,09:52:00,Canteiro divisório,1,Pavimento flexível (asfalto),3,90,Sem chuva,não,sim,não,não,sim,não,não,Retorno/Acesso,não,Entre 09 e 12,Entre 50 e 75
tatu-galinha,1,Verão,84,5,JF,Serra,13:00:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,91,4,RJ,Serra,09:30:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,91,4,RJ,Serra,09:40:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
cobra-lisa,1,Verão,91,4,RJ,Serra,09:35:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
morcego,1,Verão,94,4,RJ,Serra,10:00:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,sim,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
sanhaçu-cinzento,1,Verão,98,3,RJ,Serra,14:20:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,sim,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 75 e 100
rã-manteiga,1,Verão,99,3,RJ,Serra,14:30:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,sim,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 75 e 100
sapo,1,Verão,99,3,RJ,Serra,14:35:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,sim,sim,não,sim,não,Pista de rolamento,não,Entre 12 e 15,Entre 75 e 100
gavião-carijó,1,Verão,101,3,RJ,Serra,10:18:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 100 e 125
sabiá,1,Verão,19,11,JF,Planalto,09:09:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,70,Sem chuva,não,sim,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
rato-preto,1,Verão,22,11,JF,Planalto,08:48:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 0 e 25
tatu-galinha,1,Verão,36,9,JF,Planalto,08:16:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,não,não,Desconhecido,não,Entre 06 e 09,Entre 25 e 50
gambá-de-orelha-preta,1,Verão,43,9,JF,Planalto,08:00:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,não,não,Pista de rolamento,não,Entre 06 e 09,Entre 25 e 50
gavião-carijó,1,Verão,73,6,RJ,Serra,15:43:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 15 e 18,Entre 50 e 75
morcego,1,Verão,77,5,JF,Serra,08:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,70,Sem chuva,sim,sim,não,não,não,sim,sim,Acostamento,não,Entre 06 e 09,Entre 75 e 100
morcego,1,Verão,84,5,JF,Serra,13:10:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 75 e 100
morcego,1,Verão,101,3,RJ,Serra,09:30:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,sim,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
bem-te-vi,1,Verão,101,3,RJ,Serra,16:05:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,não,sim,não,sim,não,Acostamento,não,Entre 15 e 18,Entre 100 e 125
rato-preto,1,Verão,101,3,JF,Serra,09:50:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,sim,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
tapeti,1,Verão,780,18,RJ,Planalto,11:58:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
gavião-carijó,1,Verão,804,16,JF,Planalto,10:46:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 800 e 825
tapeti,1,Verão,806,15,JF,Planalto,10:34:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 800 e 825
tapeti,1,Verão,18,11,RJ,Planalto,13:38:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
cuíca,1,Verão,45,9,JF,Planalto,08:16:00,Sem divisão,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 25 e 50
gavião-carijó,1,Verão,45,9,JF,Planalto,08:08:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 25 e 50
gambá-de-orelha-preta,1,Verão,47,8,RJ,Planalto,14:41:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,sim,não,Acostamento,não,Entre 12 e 15,Entre 25 e 50
bentevizinho,1,Verão,50,8,RJ,Planalto,14:52:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 12 e 15,Entre 25 e 50
bentevizinho,1,Verão,50,8,RJ,Planalto,14:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 12 e 15,Entre 25 e 50
mamífero,1,Verão,80,5,RJ,Serra,09:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
sapo,1,Verão,82,5,JF,Serra,08:40:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,sim,sim,não,sim,sim,Acostamento,não,Entre 06 e 09,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,94,4,RJ,Serra,09:50:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gavião-carijó,1,Verão,95,4,JF,Serra,13:05:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 75 e 100
gavião-carijó,1,Verão,97,3,JF,Serra,07:55:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
sagui,1,Verão,99,3,RJ,Serra,10:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,sim,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,99,3,RJ,Serra,10:10:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,sim,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
anu-preto,1,Verão,784,18,RJ,Planalto,11:32:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
tiziu,1,Verão,784,18,RJ,Planalto,11:34:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
corujinha-do-mato,1,Verão,798,16,RJ,Planalto,12:22:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),5,110,Sem chuva,não,sim,não,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 775 e 800
Gavião,1,Verão,811,15,RJ,Planalto,12:42:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,sim,Acostamento,não,Entre 12 e 15,Entre 800 e 825
cascavel,1,Verão,3,13,RJ,Planalto,14:20:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
gambá-de-orelha-preta,1,Verão,31,10,JF,Planalto,10:49:00,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 25 e 50
anu-preto,1,Verão,33,10,RJ,Planalto,14:59:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 25 e 50
calango,1,Verão,35,10,JF,Planalto,10:32:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 25 e 50
bentevizinho-de-penacho-vermelho,1,Verão,60,7,RJ,Planalto,15:40:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
ave,1,Verão,60,7,RJ,Planalto,15:43:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
sanhaçu-do-coqueiro,1,Verão,77,5,JF,Serra,08:50:00,Sem divisão,0,Pavimento flexível (asfalto),0,70,Sem chuva,sim,sim,não,sim,não,sim,sim,Acostamento,não,Entre 06 e 09,Entre 75 e 100
saíra-lagarta,1,Verão,79,5,RJ,Serra,09:20:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,70,Sem chuva,sim,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,86,4,RJ,Serra,09:40:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,1,Verão,86,4,RJ,Serra,09:50:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
Marsupial,1,Verão,89,4,RJ,Serra,10:00:00,Sem divisão,0,Desconhecido,0,70,Sem chuva,sim,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
cobra-de-vidro,1,Verão,89,4,RJ,Serra,10:10:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,sim,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
caninana,1,Verão,93,4,RJ,Serra,10:30:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,1,Verão,95,4,RJ,Serra,10:40:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
cambacica,1,Verão,98,3,RJ,Serra,15:10:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,não,sim,não,sim,sim,Acostamento,não,Entre 15 e 18,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,98,3,RJ,Serra,10:55:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,sim,sim,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
sagui-de-tufos-pretos,1,Verão,791,17,JF,Planalto,12:32:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,sim,não,sim,não,Desconhecido,não,Entre 12 e 15,Entre 775 e 800
anu-preto,1,Verão,821,14,JF,Planalto,11:35:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 800 e 825
dormideira,1,Verão,821,14,JF,Planalto,11:43:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 800 e 825
guariba,1,Verão,826,13,JF,Planalto,13:15:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,sim,sim,Pista de rolamento,não,Entre 12 e 15,Entre 825 e 850
capivara,1,Verão,0,13,RJ,Planalto,13:20:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
gavião-carijó,1,Verão,47,8,JF,Planalto,08:05:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,não,sim,não,sim,Acostamento,não,Entre 06 e 09,Entre 25 e 50
sagui,1,Verão,66,6,RJ,Planalto,15:05:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
joão-porca,1,Verão,80,5,JF,Serra,08:50:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 06 e 09,Entre 75 e 100
morcego,1,Verão,85,5,RJ,Serra,09:50:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
serpente,1,Verão,85,5,RJ,Serra,09:55:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
teiú,1,Verão,85,5,RJ,Serra,10:00:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,1,Verão,92,4,RJ,Serra,10:30:00,Sem divisão,1,Pavimento semi-flexível,2,70,Sem chuva,sim,sim,não,sim,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
rato,1,Verão,93,4,JF,Serra,08:10:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
calango,1,Verão,93,4,JF,Serra,08:00:00,Sem divisão,1,Pavimento rígido,2,70,Sem chuva,não,sim,não,não,não,sim,sim,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
rã-manteiga,1,Verão,98,3,RJ,Serra,10:45:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,sim,não,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
furão,2,Verão,71,6,RJ,Planalto,15:50:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,sim,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
